sub,avg_acc,ball,drape,rotate,wind
1,0.5235019841269841,0.4965079365079365,0.4489285714285715,0.6533333333333332,0.4952380952380952
2,0.4366329365079365,0.4041666666666667,0.4988095238095238,0.388,0.4555555555555555
3,0.5544890873015873,0.5616666666666666,0.451904761904762,0.6111111111111112,0.5932738095238095
4,0.5869041005291005,0.7280000000000001,0.7224999999999999,0.5125925925925926,0.3845238095238095
5,0.5793765331890331,0.3778849206349205,0.6071212121212121,0.5825,0.75
6,0.6305,0.635,0.4499999999999999,0.6679999999999999,0.7689999999999999
7,0.5780000000000001,0.5509999999999999,0.627,0.6,0.534
8,0.6327500000000001,0.7360000000000001,0.6070000000000002,0.5460000000000002,0.6420000000000001
9,0.5835,0.5640000000000001,0.7660000000000001,0.497,0.5070000000000001
10,0.5687500000000001,0.7030000000000001,0.6140000000000001,0.3509999999999999,0.607
11,0.62075,0.65,0.534,0.615,0.6839999999999999
12,0.65125,0.4920000000000001,0.7410000000000001,0.633,0.739
13,0.3894999999999999,0.3999999999999999,0.329,0.3769999999999999,0.452
14,0.6557500000000002,0.7330000000000003,0.6590000000000003,0.6090000000000002,0.6219999999999999
15,0.55925,0.417,0.356,0.756,0.7080000000000001
16,0.6557499999999999,0.651,0.813,0.6500000000000001,0.509
17,0.5397500000000001,0.626,0.55,0.5,0.4830000000000001
18,0.4947500000000001,0.25,0.4390000000000001,0.68,0.6100000000000003
19,0.5086666666666666,0.6119999999999999,0.436,0.4,0.5866666666666667
20,0.6335000000000001,0.5880000000000001,0.6659999999999999,0.7120000000000001,0.5680000000000001
21,0.4902500000000002,0.3730000000000001,0.4800000000000002,0.4690000000000001,0.6390000000000002
22,0.47675,0.439,0.6099999999999999,0.444,0.4140000000000002
23,0.54,0.5910000000000001,0.5569999999999999,0.3909999999999999,0.621
24,0.49775,0.5329999999999999,0.262,0.672,0.5239999999999999
