sub,avg_acc,ball,drape,rotate,wind
1,0.5630188492063493,0.5753015873015873,0.6358214285714286,0.4952380952380952,0.5457142857142857
2,0.4881254960317459,0.4768749999999998,0.4152380952380952,0.5815,0.4788888888888887
3,0.5066691468253968,0.4958333333333333,0.3383333333333334,0.571111111111111,0.6213988095238094
4,0.6060886243386243,0.7986666666666663,0.675,0.4181481481481481,0.5325396825396825
5,0.469647141053391,0.4941567460317458,0.3681818181818181,0.51625,0.5
6,0.5716249999999998,0.4084999999999998,0.6799999999999996,0.6429999999999998,0.5549999999999999
7,0.5332499999999999,0.5429999999999997,0.4999999999999998,0.5080000000000001,0.582
8,0.6756249999999998,0.7499999999999996,0.7229999999999999,0.5795000000000001,0.65
9,0.4263749999999999,0.5414999999999999,0.3114999999999998,0.3344999999999998,0.518
10,0.5977499999999999,0.4844999999999998,0.5589999999999999,0.7429999999999998,0.6044999999999997
11,0.5661250000000001,0.6279999999999999,0.5395000000000003,0.5425,0.5545000000000001
12,0.5112499999999999,0.5925000000000002,0.4729999999999995,0.5329999999999999,0.4464999999999998
13,0.6287499999999999,0.4789999999999998,0.7,0.7500000000000001,0.5860000000000001
14,0.580625,0.4979999999999998,0.5390000000000001,0.586,0.6995000000000001
15,0.4813750000000001,0.6065000000000003,0.352,0.7000000000000001,0.2669999999999999
16,0.4648749999999999,0.514,0.4034999999999999,0.4299999999999998,0.512
17,0.5298749999999999,0.6840000000000002,0.5799999999999998,0.4749999999999993,0.3805000000000002
18,0.557,0.4540000000000002,0.5869999999999999,0.6499999999999999,0.5370000000000004
19,0.4464999999999999,0.592,0.4125,0.3314999999999998,0.4499999999999999
20,0.6116249999999999,0.6099999999999997,0.6589999999999998,0.6000000000000003,0.5774999999999999
21,0.5509999999999999,0.5674999999999997,0.6,0.5864999999999999,0.45
22,0.5131250000000003,0.5585000000000001,0.6505000000000003,0.5435000000000004,0.3
23,0.5452500000000001,0.528,0.6150000000000001,0.492,0.5460000000000002
24,0.5986249999999999,0.6319999999999999,0.5979999999999998,0.7094999999999998,0.4549999999999999
